Cores,N,Size,Iterations,Time
1,3000,68,445,10128
1,3000,68,445,14593
1,3000,68,445,11560
1,3000,68,445,13137
1,3000,68,445,14599
1,3100,73,445,11344
1,3100,73,445,15936
1,3100,73,445,9228
1,3100,73,445,16754
1,3100,73,445,9237
1,3200,78,445,16055
1,3200,78,445,9911
1,3200,78,445,16567
1,3200,78,445,15691
1,3200,78,445,11583
1,3300,83,445,18105
1,3300,83,445,10593
1,3300,83,445,18243
1,3300,83,445,17272
1,3300,83,445,10569
1,3400,88,445,18100
1,3400,88,445,18383
1,3400,88,445,11202
1,3400,88,445,17836
1,3400,88,445,16952
1,3500,93,445,13355
1,3500,93,445,18671
1,3500,93,445,19220
1,3500,93,445,11713
1,3500,93,445,18671
1,3600,98,445,18572
1,3600,98,445,12581
1,3600,98,445,20036
1,3600,98,445,17032
1,3600,98,445,17309
1,3700,104,445,16183
1,3700,104,445,20189
1,3700,104,445,20738
1,3700,104,445,20487
1,3700,104,445,14364
1,3800,110,445,20077
1,3800,110,445,21318
1,3800,110,445,21569
1,3800,110,445,21505
1,3800,110,445,21519
1,3900,116,445,18383
1,3900,116,445,18206
1,3900,116,445,21408
1,3900,116,445,22246
1,3900,116,445,22200
1,4000,122,445,22881
1,4000,122,445,22885
1,4000,122,445,21384
1,4000,122,445,22640
1,4000,122,445,17726
1,4100,128,445,21534
1,4100,128,445,20436
1,4100,128,445,24022
1,4100,128,445,23241
1,4100,128,445,20385
1,4200,134,445,24021
1,4200,134,445,23887
1,4200,134,445,24557
1,4200,134,445,23751
1,4200,134,445,23786
1,4300,141,445,23978
1,4300,141,445,24667
1,4300,141,445,24924
1,4300,141,445,24644
1,4300,141,445,24637
1,4400,147,445,24759
1,4400,147,445,25363
1,4400,147,445,25415
1,4400,147,445,24752
1,4400,147,445,26042
1,4500,154,445,30910
1,4500,154,445,29178
1,4500,154,445,26708
1,4500,154,445,26406
1,4500,154,445,26959
1,4600,161,445,27554
1,4600,161,445,33459
1,4600,161,445,28000
1,4600,161,445,27668
1,4600,161,445,27747
1,4700,168,445,28038
1,4700,168,445,35797
1,4700,168,445,28538
1,4700,168,445,28202
1,4700,168,445,28445
1,4800,175,445,35931
1,4800,175,445,29701
1,4800,175,445,29627
1,4800,175,445,36092
1,4800,175,445,29140
1,4900,183,445,30011
1,4900,183,445,37389
1,4900,183,445,30862
1,4900,183,445,29137
1,4900,183,445,30221
1,5000,190,445,38012
1,5000,190,445,31294
1,5000,190,445,33022
1,5000,190,445,37028
1,5000,190,445,30780
2,100,0,217,4
2,100,0,217,3
2,100,0,217,3
2,100,0,217,3
2,100,0,217,3
2,200,0,365,20
2,200,0,365,20
2,200,0,365,20
2,200,0,365,19
2,200,0,365,19
2,300,0,445,54
2,300,0,445,55
2,300,0,445,53
2,300,0,445,53
2,300,0,445,53
2,400,1,445,99
2,400,1,445,98
2,400,1,445,128
2,400,1,445,118
2,400,1,445,100
2,500,1,445,169
2,500,1,445,165
2,500,1,445,161
2,500,1,445,161
2,500,1,445,154
2,600,2,445,245
2,600,2,445,254
2,600,2,445,243
2,600,2,445,240
2,600,2,445,252
2,700,3,445,320
2,700,3,445,407
2,700,3,445,420
2,700,3,445,329
2,700,3,445,381
2,800,4,445,505
2,800,4,445,481
2,800,4,445,516
2,800,4,445,456
2,800,4,445,498
2,900,6,445,750
2,900,6,445,1097
2,900,6,445,1057
2,900,6,445,1065
2,900,6,445,1089
2,1000,7,445,2095
2,1000,7,445,2245
2,1000,7,445,1572
2,1000,7,445,717
2,1000,7,445,730
2,1100,9,445,904
2,1100,9,445,888
2,1100,9,445,929
2,1100,9,445,872
2,1100,9,445,840
2,1200,10,445,1449
2,1200,10,445,1111
2,1200,10,445,1238
2,1200,10,445,1160
2,1200,10,445,1039
2,1300,12,445,1277
2,1300,12,445,2128
2,1300,12,445,2794
2,1300,12,445,4609
2,1300,12,445,1999
2,1400,14,445,1396
2,1400,14,445,1368
2,1400,14,445,1347
2,1400,14,445,1350
2,1400,14,445,1497
2,1500,17,445,1633
2,1500,17,445,1536
2,1500,17,445,1503
2,1500,17,445,1693
2,1500,17,445,5615
2,1600,19,445,4890
2,1600,19,445,1704
2,1600,19,445,1786
2,1600,19,445,1708
2,1600,19,445,1701
2,1700,22,445,1945
2,1700,22,445,1973
2,1700,22,445,1932
2,1700,22,445,4353
2,1700,22,445,6584
2,1800,24,445,2201
2,1800,24,445,2165
2,1800,24,445,2170
2,1800,24,445,2179
2,1800,24,445,2218
2,1900,27,445,2436
2,1900,27,445,6365
2,1900,27,445,5516
2,1900,27,445,2399
2,1900,27,445,2398
2,2000,30,445,2686
2,2000,30,445,2659
2,2000,30,445,2983
2,2000,30,445,9698
2,2000,30,445,2668
2,2100,33,445,2975
2,2100,33,445,3846
2,2100,33,445,4039
2,2100,33,445,3679
2,2100,33,445,2935
2,2200,36,445,3280
2,2200,36,445,3226
2,2200,36,445,3235
2,2200,36,445,9555
2,2200,36,445,3695
2,2300,40,445,3537
2,2300,40,445,3523
2,2300,40,445,3525
2,2300,40,445,6943
2,2300,40,445,5890
2,2400,43,445,3834
2,2400,43,445,3886
2,2400,43,445,3904
2,2400,43,445,11524
2,2400,43,445,3820
2,2500,47,445,4214
2,2500,47,445,4191
2,2500,47,445,11252
2,2500,47,445,4154
2,2500,47,445,4182
2,2600,51,445,4503
2,2600,51,445,11612
2,2600,51,445,4515
2,2600,51,445,4512
2,2600,51,445,5277
2,2700,55,445,10872
2,2700,55,445,4922
2,2700,55,445,4938
2,2700,55,445,12546
2,2700,55,445,4892
2,2800,59,445,5268
2,2800,59,445,8658
2,2800,59,445,8938
2,2800,59,445,5264
2,2800,59,445,5920
2,2900,64,445,11685
2,2900,64,445,5585
2,2900,64,445,5587
2,2900,64,445,11373
2,2900,64,445,5582
2,3000,68,445,6001
2,3000,68,445,11774
2,3000,68,445,5968
2,3000,68,445,5974
2,3000,68,445,13174
2,3100,73,445,8364
2,3100,73,445,9020
2,3100,73,445,8082
2,3100,73,445,6414
2,3100,73,445,6803
2,3200,78,445,7295
2,3200,78,445,7440
2,3200,78,445,7323
2,3200,78,445,10380
2,3200,78,445,6830
2,3300,83,445,7919
2,3300,83,445,14474
2,3300,83,445,9357
2,3300,83,445,10552
2,3300,83,445,8789
2,3400,88,445,10317
2,3400,88,445,11155
2,3400,88,445,10282
2,3400,88,445,19413
2,3400,88,445,8113
2,3500,93,445,8665
2,3500,93,445,8735
2,3500,93,445,12139
2,3500,93,445,8618
2,3500,93,445,16010
2,3600,98,445,8739
2,3600,98,445,14046
2,3600,98,445,9146
2,3600,98,445,16488
2,3600,98,445,8951
2,3700,104,445,16023
2,3700,104,445,9179
2,3700,104,445,15651
2,3700,104,445,9223
2,3700,104,445,16867
2,3800,110,445,16568
2,3800,110,445,11675
2,3800,110,445,11456
2,3800,110,445,14609
2,3800,110,445,9885
2,3900,116,445,16464
2,3900,116,445,17870
2,3900,116,445,10125
2,3900,116,445,15917
2,3900,116,445,10125
2,4000,122,445,17167
2,4000,122,445,12530
2,4000,122,445,14597
2,4000,122,445,17167
2,4000,122,445,10686
2,4100,128,445,19217
2,4100,128,445,19271
2,4100,128,445,12002
2,4100,128,445,15945
2,4100,128,445,18667
2,4200,134,445,11897
2,4200,134,445,16747
2,4200,134,445,15945
2,4200,134,445,14580
2,4200,134,445,17704
2,4300,141,445,18935
2,4300,141,445,12738
2,4300,141,445,22525
2,4300,141,445,14199
2,4300,141,445,16597
2,4400,147,445,18745
2,4400,147,445,20680
2,4400,147,445,13059
2,4400,147,445,18855
2,4400,147,445,18744
2,4500,154,445,21294
2,4500,154,445,14282
2,4500,154,445,19498
2,4500,154,445,19293
2,4500,154,445,21296
2,4600,161,445,21312
2,4600,161,445,15533
2,4600,161,445,20400
2,4600,161,445,21914
2,4600,161,445,21953
2,4700,168,445,22641
2,4700,168,445,21930
2,4700,168,445,20616
2,4700,168,445,15726
2,4700,168,445,19730
2,4800,175,445,23263
2,4800,175,445,22294
2,4800,175,445,21297
2,4800,175,445,21297
2,4800,175,445,21278
2,4900,183,445,18181
2,4900,183,445,19780
2,4900,183,445,21831
2,4900,183,445,24871
2,4900,183,445,20258
2,5000,190,445,21690
2,5000,190,445,22477
2,5000,190,445,22431
2,5000,190,445,24402
2,5000,190,445,22463
3,100,0,217,3
3,100,0,217,3
3,100,0,217,2
3,100,0,217,2
3,100,0,217,2
3,200,0,365,15
3,200,0,365,14
3,200,0,365,14
3,200,0,365,14
3,200,0,365,14
3,300,0,445,38
3,300,0,445,38
3,300,0,445,37
3,300,0,445,37
3,300,0,445,37
3,400,1,445,80
3,400,1,445,66
3,400,1,445,66
3,400,1,445,67
3,400,1,445,66
3,500,1,445,106
3,500,1,445,106
3,500,1,445,107
3,500,1,445,126
3,500,1,445,107
3,600,2,445,168
3,600,2,445,214
3,600,2,445,174
3,600,2,445,165
3,600,2,445,166
3,700,3,445,230
3,700,3,445,232
3,700,3,445,227
3,700,3,445,242
3,700,3,445,227
3,800,4,445,299
3,800,4,445,298
3,800,4,445,299
3,800,4,445,301
3,800,4,445,312
3,900,6,445,379
3,900,6,445,378
3,900,6,445,380
3,900,6,445,380
3,900,6,445,378
3,1000,7,445,500
3,1000,7,445,492
3,1000,7,445,482
3,1000,7,445,473
3,1000,7,445,483
3,1100,9,445,573
3,1100,9,445,594
3,1100,9,445,581
3,1100,9,445,582
3,1100,9,445,600
3,1200,10,445,682
3,1200,10,445,695
3,1200,10,445,687
3,1200,10,445,1890
3,1200,10,445,1860
3,1300,12,445,2669
3,1300,12,445,3261
3,1300,12,445,1079
3,1300,12,445,817
3,1300,12,445,808
3,1400,14,445,951
3,1400,14,445,943
3,1400,14,445,947
3,1400,14,445,953
3,1400,14,445,947
3,1500,17,445,1090
3,1500,17,445,1094
3,1500,17,445,1112
3,1500,17,445,1085
3,1500,17,445,1092
3,1600,19,445,1275
3,1600,19,445,2105
3,1600,19,445,2224
3,1600,19,445,3048
3,1600,19,445,3123
3,1700,22,445,1406
3,1700,22,445,1410
3,1700,22,445,1384
3,1700,22,445,1410
3,1700,22,445,1394
3,1800,24,445,1808
3,1800,24,445,1836
3,1800,24,445,1825
3,1800,24,445,1840
3,1800,24,445,1844
3,1900,27,445,2036
3,1900,27,445,2026
3,1900,27,445,2041
3,1900,27,445,2061
3,1900,27,445,2029
3,2000,30,445,2263
3,2000,30,445,2244
3,2000,30,445,2247
3,2000,30,445,2274
3,2000,30,445,2256
3,2100,33,445,2484
3,2100,33,445,2522
3,2100,33,445,2536
3,2100,33,445,2477
3,2100,33,445,2485
3,2200,36,445,2756
3,2200,36,445,2759
3,2200,36,445,2722
3,2200,36,445,2729
3,2200,36,445,2744
3,2300,40,445,3014
3,2300,40,445,2971
3,2300,40,445,2973
3,2300,40,445,2993
3,2300,40,445,2994
3,2400,43,445,3251
3,2400,43,445,3264
3,2400,43,445,3269
3,2400,43,445,3235
3,2400,43,445,3244
3,2500,47,445,3503
3,2500,47,445,3518
3,2500,47,445,3514
3,2500,47,445,3523
3,2500,47,445,3518
3,2600,51,445,3807
3,2600,51,445,3811
3,2600,51,445,3878
3,2600,51,445,3802
3,2600,51,445,3808
3,2700,55,445,4115
3,2700,55,445,4103
3,2700,55,445,4111
3,2700,55,445,4142
3,2700,55,445,4092
3,2800,59,445,4416
3,2800,59,445,4433
3,2800,59,445,4421
3,2800,59,445,4424
3,2800,59,445,4420
3,2900,64,445,4732
3,2900,64,445,4751
3,2900,64,445,4732
3,2900,64,445,4881
3,2900,64,445,4785
3,3000,68,445,5092
3,3000,68,445,5105
3,3000,68,445,5089
3,3000,68,445,5117
3,3000,68,445,5064
3,3100,73,445,5402
3,3100,73,445,5431
3,3100,73,445,5562
3,3100,73,445,5431
3,3100,73,445,5389
3,3200,78,445,5755
3,3200,78,445,5752
3,3200,78,445,5758
3,3200,78,445,5850
3,3200,78,445,5816
3,3300,83,445,6243
3,3300,83,445,6140
3,3300,83,445,6137
3,3300,83,445,6114
3,3300,83,445,6114
3,3400,88,445,6505
3,3400,88,445,6502
3,3400,88,445,6488
3,3400,88,445,6477
3,3400,88,445,6478
3,3500,93,445,6856
3,3500,93,445,6902
3,3500,93,445,6882
3,3500,93,445,6866
3,3500,93,445,6937
3,3600,98,445,7282
3,3600,98,445,7317
3,3600,98,445,7281
3,3600,98,445,7324
3,3600,98,445,7273
3,3700,104,445,7683
3,3700,104,445,7885
3,3700,104,445,7659
3,3700,104,445,7685
3,3700,104,445,7671
3,3800,110,445,8095
3,3800,110,445,8110
3,3800,110,445,8114
3,3800,110,445,8074
3,3800,110,445,8122
3,3900,116,445,8588
3,3900,116,445,8808
3,3900,116,445,8571
3,3900,116,445,8608
3,3900,116,445,8794
3,4000,122,445,8990
3,4000,122,445,8999
3,4000,122,445,9243
3,4000,122,445,8978
3,4000,122,445,9008
3,4100,128,445,9885
3,4100,128,445,9872
3,4100,128,445,9924
3,4100,128,445,9879
3,4100,128,445,9843
3,4200,134,445,9932
3,4200,134,445,9940
3,4200,134,445,10049
3,4200,134,445,9937
3,4200,134,445,10237
3,4300,141,445,10412
3,4300,141,445,10454
3,4300,141,445,10440
3,4300,141,445,10434
3,4300,141,445,10418
3,4400,147,445,11032
3,4400,147,445,10975
3,4400,147,445,11577
3,4400,147,445,11248
3,4400,147,445,10999
3,4500,154,445,11432
3,4500,154,445,11436
3,4500,154,445,11660
3,4500,154,445,11388
3,4500,154,445,11431
3,4600,161,445,12041
3,4600,161,445,12031
3,4600,161,445,12059
3,4600,161,445,12086
3,4600,161,445,12011
3,4700,168,445,12412
3,4700,168,445,12467
3,4700,168,445,12457
3,4700,168,445,12457
3,4700,168,445,12488
3,4800,175,445,13028
3,4800,175,445,13018
3,4800,175,445,13010
3,4800,175,445,13020
3,4800,175,445,12936
3,4900,183,445,13599
3,4900,183,445,13567
3,4900,183,445,13685
3,4900,183,445,15474
3,4900,183,445,15368
3,5000,190,445,14119
3,5000,190,445,14221
3,5000,190,445,14417
3,5000,190,445,14201
3,5000,190,445,14112
4,100,0,211,4
4,100,0,211,3
4,100,0,211,3
4,100,0,211,3
4,100,0,211,3
4,200,0,365,19
4,200,0,365,11
4,200,0,365,11
4,200,0,365,11
4,200,0,365,11
4,300,0,445,29
4,300,0,445,29
4,300,0,445,29
4,300,0,445,29
4,300,0,445,42
4,400,1,445,58
4,400,1,445,51
4,400,1,445,52
4,400,1,445,59
4,400,1,445,79
4,500,1,445,88
4,500,1,445,82
4,500,1,445,82
4,500,1,445,82
4,500,1,445,96
4,600,2,445,132
4,600,2,445,168
4,600,2,445,148
4,600,2,445,208
4,600,2,445,163
4,700,3,445,191
4,700,3,445,227
4,700,3,445,179
4,700,3,445,180
4,700,3,445,180
4,800,4,445,241
4,800,4,445,239
4,800,4,445,237
4,800,4,445,257
4,800,4,445,248
4,900,6,445,431
4,900,6,445,313
4,900,6,445,328
4,900,6,445,376
4,900,6,445,319
4,1000,7,445,405
4,1000,7,445,411
4,1000,7,445,453
4,1000,7,445,409
4,1000,7,445,430
4,1100,9,445,675
4,1100,9,445,1155
4,1100,9,445,1267
4,1100,9,445,1087
4,1100,9,445,1189
4,1200,10,445,2201
4,1200,10,445,2362
4,1200,10,445,1025
4,1200,10,445,621
4,1200,10,445,596
4,1300,12,445,736
4,1300,12,445,728
4,1300,12,445,720
4,1300,12,445,722
4,1300,12,445,1085
4,1400,14,445,867
4,1400,14,445,854
4,1400,14,445,906
4,1400,14,445,907
4,1400,14,445,842
4,1500,17,445,1002
4,1500,17,445,1010
4,1500,17,445,982
4,1500,17,445,988
4,1500,17,445,2054
4,1600,19,445,1910
4,1600,19,445,2932
4,1600,19,445,3456
4,1600,19,445,1195
4,1600,19,445,1123
4,1700,22,445,1382
4,1700,22,445,1276
4,1700,22,445,1318
4,1700,22,445,1273
4,1700,22,445,1592
4,1800,24,445,1648
4,1800,24,445,1623
4,1800,24,445,1666
4,1800,24,445,1621
4,1800,24,445,1641
4,1900,27,445,1866
4,1900,27,445,1927
4,1900,27,445,1920
4,1900,27,445,1866
4,1900,27,445,1890
4,2000,30,445,2044
4,2000,30,445,2024
4,2000,30,445,1985
4,2000,30,445,2176
4,2000,30,445,2016
4,2100,33,445,2293
4,2100,33,445,2171
4,2100,33,445,2238
4,2100,33,445,2274
4,2100,33,445,2312
4,2200,36,445,2745
4,2200,36,445,2504
4,2200,36,445,2483
4,2200,36,445,2465
4,2200,36,445,2390
4,2300,40,445,2596
4,2300,40,445,2563
4,2300,40,445,2610
4,2300,40,445,2603
4,2300,40,445,2602
4,2400,43,445,2811
4,2400,43,445,2866
4,2400,43,445,2876
4,2400,43,445,2856
4,2400,43,445,2846
4,2500,47,445,3096
4,2500,47,445,3122
4,2500,47,445,3119
4,2500,47,445,3153
4,2500,47,445,3087
4,2600,51,445,3311
4,2600,51,445,3402
4,2600,51,445,3392
4,2600,51,445,3375
4,2600,51,445,3376
4,2700,55,445,3626
4,2700,55,445,3662
4,2700,55,445,3602
4,2700,55,445,3569
4,2700,55,445,3733
4,2800,59,445,3850
4,2800,59,445,3981
4,2800,59,445,3965
4,2800,59,445,4051
4,2800,59,445,3925
4,2900,64,445,7861
4,2900,64,445,4338
4,2900,64,445,4406
4,2900,64,445,4184
4,2900,64,445,7795
4,3000,68,445,4573
4,3000,68,445,4519
4,3000,68,445,4949
4,3000,68,445,5119
4,3000,68,445,4500
4,3100,73,445,4910
4,3100,73,445,5043
4,3100,73,445,5028
4,3100,73,445,5121
4,3100,73,445,5053
4,3200,78,445,5175
4,3200,78,445,5208
4,3200,78,445,5163
4,3200,78,445,5149
4,3200,78,445,5222
4,3300,83,445,5511
4,3300,83,445,5466
4,3300,83,445,5494
4,3300,83,445,5358
4,3300,83,445,5334
4,3400,88,445,5799
4,3400,88,445,6000
4,3400,88,445,5765
4,3400,88,445,5873
4,3400,88,445,5852
4,3500,93,445,6227
4,3500,93,445,6118
4,3500,93,445,6343
4,3500,93,445,6077
4,3500,93,445,6206
4,3600,98,445,6599
4,3600,98,445,6518
4,3600,98,445,6557
4,3600,98,445,6597
4,3600,98,445,6545
4,3700,104,445,7108
4,3700,104,445,6827
4,3700,104,445,6896
4,3700,104,445,6875
4,3700,104,445,6902
4,3800,110,445,7577
4,3800,110,445,7291
4,3800,110,445,7449
4,3800,110,445,7262
4,3800,110,445,7307
4,3900,116,445,7568
4,3900,116,445,7887
4,3900,116,445,7727
4,3900,116,445,7663
4,3900,116,445,7556
4,4000,122,445,8112
4,4000,122,445,8203
4,4000,122,445,8130
4,4000,122,445,7999
4,4000,122,445,8485
4,4100,128,445,8736
4,4100,128,445,8829
4,4100,128,445,8767
4,4100,128,445,8785
4,4100,128,445,9065
4,4200,134,445,8945
4,4200,134,445,8836
4,4200,134,445,8827
4,4200,134,445,8844
4,4200,134,445,8790
4,4300,141,445,9220
4,4300,141,445,9322
4,4300,141,445,9263
4,4300,141,445,9172
4,4300,141,445,9420
4,4400,147,445,9915
4,4400,147,445,9663
4,4400,147,445,9847
4,4400,147,445,9862
4,4400,147,445,9699
4,4500,154,445,10046
4,4500,154,445,10174
4,4500,154,445,10331
4,4500,154,445,10239
4,4500,154,445,10271
4,4600,161,445,10978
4,4600,161,445,10861
4,4600,161,445,10730
4,4600,161,445,10671
4,4600,161,445,10559
4,4700,168,445,11114
4,4700,168,445,11052
4,4700,168,445,10899
4,4700,168,445,10890
4,4700,168,445,10887
4,4800,175,445,11408
4,4800,175,445,11382
4,4800,175,445,11416
4,4800,175,445,11231
4,4800,175,445,11379
4,4900,183,445,11912
4,4900,183,445,11852
4,4900,183,445,12153
4,4900,183,445,14197
4,4900,183,445,11891
4,5000,190,445,14004
4,5000,190,445,14161
4,5000,190,445,14990
4,5000,190,445,13331
4,5000,190,445,14248
5,100,0,178,4
5,100,0,178,3
5,100,0,178,2
5,100,0,178,2
5,100,0,178,2
5,200,0,318,14
5,200,0,318,14
5,200,0,318,14
5,200,0,318,14
5,200,0,318,14
5,300,0,427,40
5,300,0,427,40
5,300,0,427,40
5,300,0,427,40
5,300,0,427,40
5,400,1,445,73
5,400,1,445,74
5,400,1,445,74
5,400,1,445,73
5,400,1,445,73
5,500,1,445,113
5,500,1,445,115
5,500,1,445,114
5,500,1,445,115
5,500,1,445,112
5,600,2,445,179
5,600,2,445,190
5,600,2,445,175
5,600,2,445,178
5,600,2,445,177
5,700,3,445,241
5,700,3,445,257
5,700,3,445,240
5,700,3,445,240
5,700,3,445,243
5,800,4,445,315
5,800,4,445,319
5,800,4,445,318
5,800,4,445,312
5,800,4,445,313
5,900,6,445,401
5,900,6,445,422
5,900,6,445,405
5,900,6,445,403
5,900,6,445,402
5,1000,7,445,593
5,1000,7,445,515
5,1000,7,445,501
5,1000,7,445,502
5,1000,7,445,507
5,1100,9,445,625
5,1100,9,445,618
5,1100,9,445,638
5,1100,9,445,622
5,1100,9,445,797
5,1200,10,445,1946
5,1200,10,445,1954
5,1200,10,445,2516
5,1200,10,445,2899
5,1200,10,445,1045
5,1300,12,445,882
5,1300,12,445,888
5,1300,12,445,883
5,1300,12,445,885
5,1300,12,445,892
5,1400,14,445,1055
5,1400,14,445,1037
5,1400,14,445,1029
5,1400,14,445,1029
5,1400,14,445,1045
5,1500,17,445,1165
5,1500,17,445,1203
5,1500,17,445,1191
5,1500,17,445,2620
5,1500,17,445,3227
5,1600,19,445,4604
5,1600,19,445,1344
5,1600,19,445,1342
5,1600,19,445,1366
5,1600,19,445,1369
5,1700,22,445,1525
5,1700,22,445,1521
5,1700,22,445,1552
5,1700,22,445,1524
5,1700,22,445,1535
5,1800,24,445,2761
5,1800,24,445,4174
5,1800,24,445,4600
5,1800,24,445,1723
5,1800,24,445,1724
5,1900,27,445,1925
5,1900,27,445,1944
5,1900,27,445,1896
5,1900,27,445,1926
5,1900,27,445,1934
5,2000,30,445,4228
5,2000,30,445,6419
5,2000,30,445,2179
5,2000,30,445,2168
5,2000,30,445,2141
5,2100,33,445,2351
5,2100,33,445,2402
5,2100,33,445,2372
5,2100,33,445,4866
5,2100,33,445,6182
5,2200,36,445,2606
5,2200,36,445,2606
5,2200,36,445,2623
5,2200,36,445,2584
5,2200,36,445,2614
5,2300,40,445,6260
5,2300,40,445,5736
5,2300,40,445,2855
5,2300,40,445,2847
5,2300,40,445,2884
5,2400,43,445,3092
5,2400,43,445,5234
5,2400,43,445,6964
5,2400,43,445,3070
5,2400,43,445,4285
5,2500,47,445,3392
5,2500,47,445,4684
5,2500,47,445,8033
5,2500,47,445,3428
5,2500,47,445,3361
5,2600,51,445,3659
5,2600,51,445,4414
5,2600,51,445,8847
5,2600,51,445,3675
5,2600,51,445,3622
5,2700,55,445,3951
5,2700,55,445,5302
5,2700,55,445,8565
5,2700,55,445,3926
5,2700,55,445,3887
5,2800,59,445,4220
5,2800,59,445,12598
5,2800,59,445,4164
5,2800,59,445,4408
5,2800,59,445,4793
5,2900,64,445,9906
5,2900,64,445,4509
5,2900,64,445,4510
5,2900,64,445,5418
5,2900,64,445,10267
5,3000,68,445,4900
5,3000,68,445,4890
5,3000,68,445,6774
5,3000,68,445,8872
5,3000,68,445,4923
5,3100,73,445,5179
5,3100,73,445,11492
5,3100,73,445,5196
5,3100,73,445,5174
5,3100,73,445,6908
5,3200,78,445,9729
5,3200,78,445,5513
5,3200,78,445,7895
5,3200,78,445,9607
5,3200,78,445,5531
5,3300,83,445,5944
5,3300,83,445,11838
5,3300,83,445,5904
5,3300,83,445,5938
5,3300,83,445,11840
5,3400,88,445,6261
5,3400,88,445,6290
5,3400,88,445,12182
5,3400,88,445,6227
5,3400,88,445,6345
5,3500,93,445,11641
5,3500,93,445,6612
5,3500,93,445,7550
5,3500,93,445,11772
5,3500,93,445,6699
5,3600,98,445,10757
5,3600,98,445,9188
5,3600,98,445,7080
5,3600,98,445,12150
5,3600,98,445,7117
5,3700,104,445,8519
5,3700,104,445,11439
5,3700,104,445,7451
5,3700,104,445,13311
5,3700,104,445,7398
5,3800,110,445,9575
5,3800,110,445,12078
5,3800,110,445,7943
5,3800,110,445,12891
5,3800,110,445,7938
5,3900,116,445,12864
5,3900,116,445,8721
5,3900,116,445,10639
5,3900,116,445,12113
5,3900,116,445,8894
5,4000,122,445,13231
5,4000,122,445,8783
5,4000,122,445,13742
5,4000,122,445,8800
5,4000,122,445,13765
5,4100,128,445,9265
5,4100,128,445,15049
5,4100,128,445,9257
5,4100,128,445,14235
5,4100,128,445,9265
